order_id,product_id,timestamp
1,1,2015-12-14 22:39:57
2,49,2019-01-12 02:14:17
3,43,2016-05-02 01:02:37
4,13,2020-06-19 01:11:50
5,4,2020-08-04 12:08:08
6,23,2017-05-23 21:20:00
7,42,2019-01-31 02:48:08
8,49,2017-06-03 18:01:10
9,38,2016-06-19 07:13:18
10,20,2016-10-16 07:20:25
11,50,2019-07-03 22:50:45
12,13,2017-03-04 03:41:15
13,10,2017-07-31 05:23:59
14,42,2018-12-24 21:56:37
15,17,2015-02-03 06:26:28
16,21,2015-07-21 17:31:26
17,49,2016-03-08 03:51:48
18,13,2019-04-21 21:35:34
19,42,2019-11-01 15:59:42
20,42,2018-10-18 15:02:47
21,2,2020-04-24 19:24:05
22,19,2020-08-10 12:48:06
23,27,2018-01-16 18:16:44
24,38,2015-01-06 18:09:51
25,30,2015-11-04 06:51:04
26,31,2018-08-06 15:27:46
27,23,2018-10-28 20:30:44
28,29,2020-03-17 03:52:03
29,25,2019-08-20 10:56:57
30,18,2015-06-08 19:21:37
31,35,2015-07-04 06:33:34
32,25,2017-04-01 21:14:50
33,36,2020-12-06 07:16:20
34,16,2020-12-03 19:10:35
35,44,2019-02-05 18:08:30
36,28,2015-10-16 14:48:36
37,46,2017-01-22 16:25:51
38,19,2019-10-27 11:13:58
39,21,2018-07-06 02:45:45
40,11,2016-12-26 05:41:36
41,20,2020-09-08 07:28:45
42,13,2019-09-06 12:45:47
43,45,2020-05-09 21:20:38
44,30,2015-12-26 09:31:03
45,31,2019-07-28 05:41:38
46,4,2016-06-21 22:40:52
47,37,2016-10-26 11:10:35
48,13,2016-03-19 03:05:32
49,35,2016-05-14 20:15:55
50,19,2019-02-03 07:59:04
51,15,2018-10-25 01:34:11
52,24,2015-07-11 17:32:44
53,35,2018-09-03 22:32:44
54,32,2019-04-24 23:55:11
55,12,2018-08-26 08:13:57
56,29,2017-05-10 20:58:28
57,26,2016-11-04 06:47:26
58,10,2015-04-06 16:37:29
59,24,2015-10-29 01:41:51
60,21,2018-11-27 16:45:59
61,36,2015-10-01 01:46:29
62,13,2016-06-17 07:36:24
63,19,2020-01-23 03:17:39
64,38,2016-12-28 15:15:35
65,49,2015-03-02 05:13:07
66,29,2017-09-01 01:33:18
67,25,2016-10-01 08:36:07
68,41,2017-08-13 02:15:23
69,10,2016-08-14 05:22:24
70,25,2020-03-27 20:21:29
71,31,2020-11-21 09:14:38
72,21,2018-01-24 22:56:30
73,25,2017-09-28 06:39:57
74,4,2018-08-21 20:54:31
75,4,2019-11-28 02:25:46
76,25,2020-01-17 15:22:53
77,49,2016-07-14 04:27:44
78,31,2015-05-15 23:52:33
79,29,2016-10-08 12:29:49
80,4,2018-04-26 01:31:07
81,35,2018-04-25 14:22:52
82,39,2019-12-26 09:57:59
83,25,2016-01-14 18:48:47
84,20,2019-07-02 09:17:58
85,42,2020-08-28 22:16:19
86,37,2017-04-17 09:41:32
87,49,2017-07-31 05:43:27
88,25,2016-04-26 12:34:22
89,21,2016-09-02 01:23:07
90,24,2019-04-22 19:11:17
91,18,2015-01-02 00:20:07
92,10,2020-12-28 00:28:15
93,9,2016-08-23 11:36:38
94,49,2020-01-01 13:48:55
95,13,2017-03-24 01:35:14
96,47,2018-06-10 19:16:02
97,50,2020-02-25 03:19:17
98,4,2020-03-19 21:48:51
99,13,2016-08-08 10:26:11
100,29,2020-06-22 19:22:45
101,13,2015-12-02 13:50:50
102,39,2017-05-10 09:47:33
103,4,2016-01-13 23:03:09
104,38,2018-05-04 01:52:36
105,16,2017-05-08 15:13:28
